threshold,precision,recall,f1
0.3789926953183105,0.03906678865507777,0.8489065606361829,0.07469605527849543
0.3790014391786127,0.039068575872638275,0.8489065606361829,0.07469932210794125
0.3790089021785876,0.03907036325372861,0.8489065606361829,0.07470258922314892
0.37902763301717485,0.03907215079837123,0.8489065606361829,0.07470585662415591
0.3790444513200812,0.03907393850658858,0.8489065606361829,0.07470912431099977
0.37905808057198626,0.03907572637840311,0.8489065606361829,0.07471239228371798
0.3790677435178665,0.039077514413837285,0.8489065606361829,0.07471566054234804
0.3790714734447969,0.039079302612913557,0.8489065606361829,0.07471892908692754
0.3790750791770449,0.0390810909756544,0.8489065606361829,0.07472219791749395
0.3790784300662491,0.039082879502082286,0.8489065606361829,0.07472546703408482
0.37908981733819996,0.03908466819221968,0.8489065606361829,0.07472873643673768
0.37909850564317343,0.03908645704608907,0.8489065606361829,0.07473200612549012
0.3791025513989578,0.039088246063712924,0.8489065606361829,0.07473527610037964
0.37911678870320653,0.039090035245113744,0.8489065606361829,0.07473854636144386
0.37912861968088274,0.03909182459031402,0.8489065606361829,0.07474181690872031
0.37913041669167125,0.03909361409933623,0.8489065606361829,0.07474508774224659
0.3791411892048177,0.03909540377220289,0.8489065606361829,0.07474835886206024
0.3791475179999886,0.0390971936089365,0.8489065606361829,0.07475163026819891
0.3791537154966206,0.039098983609559566,0.8489065606361829,0.07475490196070014
0.3791621096086758,0.03910077377409459,0.8489065606361829,0.07475817393960156
0.37917715891649006,0.0391025641025641,0.8489065606361829,0.07476144620494077
0.3791789772320504,0.03910435459499061,0.8489065606361829,0.07476471875675537
0.3791988015864282,0.03910614525139665,0.8489065606361829,0.07476799159508303
0.37920233064201014,0.03910793607180473,0.8489065606361829,0.07477126471996133
0.37920421653719244,0.03910972705623741,0.8489065606361829,0.07477453813142793
0.37920951082072435,0.0391115182047172,0.8489065606361829,0.07477781182952047
0.37921993534627285,0.039113309517266645,0.8489065606361829,0.07478108581427656
0.37922816013673705,0.0391151009939083,0.8489065606361829,0.07478436008573391
0.3792362846929024,0.03911689263466471,0.8489065606361829,0.07478763464393014
0.37923822386429606,0.039118684439558425,0.8489065606361829,0.07479090948890295
0.3792549494355916,0.039120476408612,0.8489065606361829,0.07479418462068999
0.3792686786535709,0.039122268541848,0.8489065606361829,0.07479746003932895
0.37927394836142403,0.03912406083928899,0.8489065606361829,0.07480073574485752
0.3792783110335049,0.03912585330095753,0.8489065606361829,0.07480401173731341
0.3792792130572161,0.0391276459268762,0.8489065606361829,0.07480728801673425
0.3792844149463768,0.03912943871706758,0.8489065606361829,0.07481056458315785
0.3792860600733811,0.03913123167155425,0.8489065606361829,0.07481384143662183
0.3792931008350994,0.039133024790358795,0.8489065606361829,0.07481711857716399
0.3793015101086852,0.0391348180735038,0.8489065606361829,0.074820396004822
0.3793078922126903,0.03913661152101187,0.8489065606361829,0.07482367371963361
0.3793159195406435,0.03913840513290559,0.8489065606361829,0.07482695172163659
0.37932719614451765,0.03914019890920757,0.8489065606361829,0.07483023001086865
0.37932777687970315,0.03914199284994042,0.8489065606361829,0.07483350858736754
0.37933382970485896,0.039143786955126735,0.8489065606361829,0.07483678745117103
0.379338614225627,0.039145581224789144,0.8489065606361829,0.07484006660231692
0.3793388499995845,0.03914737565895026,0.8489065606361829,0.07484334604084293
0.37935167534693853,0.03914917025763271,0.8489065606361829,0.07484662576678687
0.3793519457253188,0.03915096502085912,0.8489065606361829,0.07484990578018655
0.3793533011174645,0.03915275994865212,0.8489065606361829,0.07485318608107971
0.3793854610526258,0.03915455504103434,0.8489065606361829,0.07485646666950417
0.37938555392947554,0.03915635029802843,0.8489065606361829,0.07485974754549776
0.3793903099400622,0.03915814571965702,0.8489065606361829,0.07486302870909825
0.37940517436789795,0.039159941305942775,0.8489065606361829,0.07486631016034351
0.3794169319264371,0.039161737056908334,0.8489065606361829,0.07486959189927134
0.37941743297317254,0.039163532972576354,0.8489065606361829,0.07487287392591956
0.379426153959288,0.0391653290529695,0.8489065606361829,0.07487615624032601
0.37942765633681835,0.039167125298110436,0.8489065606361829,0.07487943884252858
0.3794286790142678,0.03916892170802183,0.8489065606361829,0.07488272173256508
0.379431437360526,0.039170718282726356,0.8489065606361829,0.07488600491047338
0.3794381785592706,0.03917251502224669,0.8489065606361829,0.07488928837629134
0.37944325199444523,0.039174311926605504,0.8489065606361829,0.07489257213005686
0.37945648353803474,0.0391761089958255,0.8489065606361829,0.0748958561718078
0.37946182035288023,0.03917790622992935,0.8489065606361829,0.07489914050158204
0.37946284386392515,0.039179703628939765,0.8489065606361829,0.07490242511941748
